intent,user_message,response
order_status,Where is my order 1,Please share your order ID to check the current status.
order_status,Track my order 2,Please share your order ID to check the current status.
order_status,Order status 3,Please share your order ID to check the current status.
order_status,Order delivery update 4,Please share your order ID to check the current status.
order_status,My order is delayed 5,Please share your order ID to check the current status.
order_status,Order kab ayega 6,Please share your order ID to check the current status.
order_status,Order kaha hai 7,Please share your order ID to check the current status.
order_status,Delivery status 8,Please share your order ID to check the current status.
order_status,Where is my order 9,Please share your order ID to check the current status.
order_status,Track my order 10,Please share your order ID to check the current status.
order_status,Order status 11,Please share your order ID to check the current status.
order_status,Order delivery update 12,Please share your order ID to check the current status.
order_status,My order is delayed 13,Please share your order ID to check the current status.
order_status,Order kab ayega 14,Please share your order ID to check the current status.
order_status,Order kaha hai 15,Please share your order ID to check the current status.
order_status,Delivery status 16,Please share your order ID to check the current status.
order_status,Where is my order 17,Please share your order ID to check the current status.
order_status,Track my order 18,Please share your order ID to check the current status.
order_status,Order status 19,Please share your order ID to check the current status.
order_status,Order delivery update 20,Please share your order ID to check the current status.
order_status,My order is delayed 21,Please share your order ID to check the current status.
order_status,Order kab ayega 22,Please share your order ID to check the current status.
order_status,Order kaha hai 23,Please share your order ID to check the current status.
order_status,Delivery status 24,Please share your order ID to check the current status.
order_status,Where is my order 25,Please share your order ID to check the current status.
order_status,Track my order 26,Please share your order ID to check the current status.
order_status,Order status 27,Please share your order ID to check the current status.
order_status,Order delivery update 28,Please share your order ID to check the current status.
order_status,My order is delayed 29,Please share your order ID to check the current status.
order_status,Order kab ayega 30,Please share your order ID to check the current status.
order_status,Order kaha hai 31,Please share your order ID to check the current status.
order_status,Delivery status 32,Please share your order ID to check the current status.
order_status,Where is my order 33,Please share your order ID to check the current status.
order_status,Track my order 34,Please share your order ID to check the current status.
order_status,Order status 35,Please share your order ID to check the current status.
order_status,Order delivery update 36,Please share your order ID to check the current status.
order_status,My order is delayed 37,Please share your order ID to check the current status.
order_status,Order kab ayega 38,Please share your order ID to check the current status.
order_status,Order kaha hai 39,Please share your order ID to check the current status.
order_status,Delivery status 40,Please share your order ID to check the current status.
order_status,Where is my order 41,Please share your order ID to check the current status.
order_status,Track my order 42,Please share your order ID to check the current status.
order_status,Order status 43,Please share your order ID to check the current status.
order_status,Order delivery update 44,Please share your order ID to check the current status.
order_status,My order is delayed 45,Please share your order ID to check the current status.
order_status,Order kab ayega 46,Please share your order ID to check the current status.
order_status,Order kaha hai 47,Please share your order ID to check the current status.
order_status,Delivery status 48,Please share your order ID to check the current status.
order_status,Where is my order 49,Please share your order ID to check the current status.
order_status,Track my order 50,Please share your order ID to check the current status.
order_status,Order status 51,Please share your order ID to check the current status.
order_status,Order delivery update 52,Please share your order ID to check the current status.
order_status,My order is delayed 53,Please share your order ID to check the current status.
order_status,Order kab ayega 54,Please share your order ID to check the current status.
order_status,Order kaha hai 55,Please share your order ID to check the current status.
order_status,Delivery status 56,Please share your order ID to check the current status.
order_status,Where is my order 57,Please share your order ID to check the current status.
order_status,Track my order 58,Please share your order ID to check the current status.
order_status,Order status 59,Please share your order ID to check the current status.
order_status,Order delivery update 60,Please share your order ID to check the current status.
order_status,My order is delayed 61,Please share your order ID to check the current status.
order_status,Order kab ayega 62,Please share your order ID to check the current status.
order_status,Order kaha hai 63,Please share your order ID to check the current status.
order_status,Delivery status 64,Please share your order ID to check the current status.
order_status,Where is my order 65,Please share your order ID to check the current status.
order_status,Track my order 66,Please share your order ID to check the current status.
order_status,Order status 67,Please share your order ID to check the current status.
order_status,Order delivery update 68,Please share your order ID to check the current status.
order_status,My order is delayed 69,Please share your order ID to check the current status.
order_status,Order kab ayega 70,Please share your order ID to check the current status.
order_status,Order kaha hai 71,Please share your order ID to check the current status.
order_status,Delivery status 72,Please share your order ID to check the current status.
order_status,Where is my order 73,Please share your order ID to check the current status.
order_status,Track my order 74,Please share your order ID to check the current status.
order_status,Order status 75,Please share your order ID to check the current status.
order_status,Order delivery update 76,Please share your order ID to check the current status.
order_status,My order is delayed 77,Please share your order ID to check the current status.
order_status,Order kab ayega 78,Please share your order ID to check the current status.
order_status,Order kaha hai 79,Please share your order ID to check the current status.
order_status,Delivery status 80,Please share your order ID to check the current status.
