intent,user_message
order_status,Where is my order 1
order_status,Track my order 2
order_status,Order status 3
order_status,Order delivery update 4
order_status,My order is delayed 5
order_status,Order kab ayega 6
order_status,Order kaha hai 7
order_status,Delivery status 8
order_status,Where is my order 9
order_status,Track my order 10
order_status,Order status 11
order_status,Order delivery update 12
order_status,My order is delayed 13
order_status,Order kab ayega 14
order_status,Order kaha hai 15
order_status,Delivery status 16
order_status,Where is my order 17
order_status,Track my order 18
order_status,Order status 19
order_status,Order delivery update 20
order_status,My order is delayed 21
order_status,Order kab ayega 22
order_status,Order kaha hai 23
order_status,Delivery status 24
order_status,Where is my order 25
order_status,Track my order 26
order_status,Order status 27
order_status,Order delivery update 28
order_status,My order is delayed 29
order_status,Order kab ayega 30
order_status,Order kaha hai 31
order_status,Delivery status 32
order_status,Where is my order 33
order_status,Track my order 34
order_status,Order status 35
order_status,Order delivery update 36
order_status,My order is delayed 37
order_status,Order kab ayega 38
order_status,Order kaha hai 39
order_status,Delivery status 40
order_status,Where is my order 41
order_status,Track my order 42
order_status,Order status 43
order_status,Order delivery update 44
order_status,My order is delayed 45
order_status,Order kab ayega 46
order_status,Order kaha hai 47
order_status,Delivery status 48
order_status,Where is my order 49
order_status,Track my order 50
order_status,Order status 51
order_status,Order delivery update 52
order_status,My order is delayed 53
order_status,Order kab ayega 54
order_status,Order kaha hai 55
order_status,Delivery status 56
order_status,Where is my order 57
order_status,Track my order 58
order_status,Order status 59
order_status,Order delivery update 60
order_status,My order is delayed 61
order_status,Order kab ayega 62
order_status,Order kaha hai 63
order_status,Delivery status 64
order_status,Where is my order 65
order_status,Track my order 66
order_status,Order status 67
order_status,Order delivery update 68
order_status,My order is delayed 69
order_status,Order kab ayega 70
order_status,Order kaha hai 71
order_status,Delivery status 72
order_status,Where is my order 73
order_status,Track my order 74
order_status,Order status 75
order_status,Order delivery update 76
order_status,My order is delayed 77
order_status,Order kab ayega 78
order_status,Order kaha hai 79
order_status,Delivery status 80
order_status,Where is my order 81
order_status,Track my order 82
order_status,Order status 83
order_status,Order delivery update 84
order_status,My order is delayed 85
order_status,Order kab ayega 86
order_status,Order kaha hai 87
order_status,Delivery status 88
order_status,Where is my order 89
order_status,Track my order 90
order_status,Order status 91
order_status,Order delivery update 92
order_status,My order is delayed 93
order_status,Order kab ayega 94
order_status,Order kaha hai 95
order_status,Delivery status 96
order_status,Where is my order 97
order_status,Track my order 98
order_status,Order status 99
order_status,Order delivery update 100
order_status,My order is delayed 101
order_status,Order kab ayega 102
order_status,Order kaha hai 103
order_status,Delivery status 104
order_status,Where is my order 105
order_status,Track my order 106
order_status,Order status 107
order_status,Order delivery update 108
order_status,My order is delayed 109
order_status,Order kab ayega 110
order_status,Order kaha hai 111
order_status,Delivery status 112
order_status,Where is my order 113
order_status,Track my order 114
order_status,Order status 115
order_status,Order delivery update 116
order_status,My order is delayed 117
order_status,Order kab ayega 118
order_status,Order kaha hai 119
order_status,Delivery status 120
order_status,Where is my order 121
order_status,Track my order 122
order_status,Order status 123
order_status,Order delivery update 124
order_status,My order is delayed 125
order_status,Order kab ayega 126
order_status,Order kaha hai 127
order_status,Delivery status 128
order_status,Where is my order 129
order_status,Track my order 130
order_status,Order status 131
order_status,Order delivery update 132
order_status,My order is delayed 133
order_status,Order kab ayega 134
order_status,Order kaha hai 135
order_status,Delivery status 136
order_status,Where is my order 137
order_status,Track my order 138
order_status,Order status 139
order_status,Order delivery update 140
order_status,My order is delayed 141
order_status,Order kab ayega 142
order_status,Order kaha hai 143
order_status,Delivery status 144
order_status,Where is my order 145
order_status,Track my order 146
order_status,Order status 147
order_status,Order delivery update 148
order_status,My order is delayed 149
order_status,Order kab ayega 150
order_status,Order kaha hai 151
order_status,Delivery status 152
order_status,Where is my order 153
order_status,Track my order 154
order_status,Order status 155
order_status,Order delivery update 156
order_status,My order is delayed 157
order_status,Order kab ayega 158
order_status,Order kaha hai 159
order_status,Delivery status 160
order_status,Where is my order 161
order_status,Track my order 162
order_status,Order status 163
order_status,Order delivery update 164
order_status,My order is delayed 165
order_status,Order kab ayega 166
order_status,Order kaha hai 167
order_status,Delivery status 168
order_status,Where is my order 169
order_status,Track my order 170
order_status,Order status 171
order_status,Order delivery update 172
order_status,My order is delayed 173
order_status,Order kab ayega 174
order_status,Order kaha hai 175
order_status,Delivery status 176
order_status,Where is my order 177
order_status,Track my order 178
order_status,Order status 179
order_status,Order delivery update 180
order_status,My order is delayed 181
order_status,Order kab ayega 182
order_status,Order kaha hai 183
order_status,Delivery status 184
order_status,Where is my order 185
order_status,Track my order 186
order_status,Order status 187
order_status,Order delivery update 188
order_status,My order is delayed 189
order_status,Order kab ayega 190
order_status,Order kaha hai 191
order_status,Delivery status 192
order_status,Where is my order 193
order_status,Track my order 194
order_status,Order status 195
order_status,Order delivery update 196
order_status,My order is delayed 197
order_status,Order kab ayega 198
order_status,Order kaha hai 199
order_status,Delivery status 200
order_status,Where is my order 201
order_status,Track my order 202
order_status,Order status 203
order_status,Order delivery update 204
order_status,My order is delayed 205
order_status,Order kab ayega 206
order_status,Order kaha hai 207
order_status,Delivery status 208
order_status,Where is my order 209
order_status,Track my order 210
order_status,Order status 211
order_status,Order delivery update 212
order_status,My order is delayed 213
order_status,Order kab ayega 214
order_status,Order kaha hai 215
order_status,Delivery status 216
order_status,Where is my order 217
order_status,Track my order 218
order_status,Order status 219
order_status,Order delivery update 220
order_status,My order is delayed 221
order_status,Order kab ayega 222
order_status,Order kaha hai 223
order_status,Delivery status 224
order_status,Where is my order 225
order_status,Track my order 226
order_status,Order status 227
order_status,Order delivery update 228
order_status,My order is delayed 229
order_status,Order kab ayega 230
order_status,Order kaha hai 231
order_status,Delivery status 232
order_status,Where is my order 233
order_status,Track my order 234
order_status,Order status 235
order_status,Order delivery update 236
order_status,My order is delayed 237
order_status,Order kab ayega 238
order_status,Order kaha hai 239
order_status,Delivery status 240
order_status,Where is my order 241
order_status,Track my order 242
order_status,Order status 243
order_status,Order delivery update 244
order_status,My order is delayed 245
order_status,Order kab ayega 246
order_status,Order kaha hai 247
order_status,Delivery status 248
order_status,Where is my order 249
order_status,Track my order 250
order_status,Order status 251
order_status,Order delivery update 252
order_status,My order is delayed 253
order_status,Order kab ayega 254
order_status,Order kaha hai 255
order_status,Delivery status 256
order_status,Where is my order 257
order_status,Track my order 258
order_status,Order status 259
order_status,Order delivery update 260
order_status,My order is delayed 261
order_status,Order kab ayega 262
order_status,Order kaha hai 263
order_status,Delivery status 264
order_status,Where is my order 265
order_status,Track my order 266
order_status,Order status 267
order_status,Order delivery update 268
order_status,My order is delayed 269
order_status,Order kab ayega 270
order_status,Order kaha hai 271
order_status,Delivery status 272
order_status,Where is my order 273
order_status,Track my order 274
order_status,Order status 275
order_status,Order delivery update 276
order_status,My order is delayed 277
order_status,Order kab ayega 278
order_status,Order kaha hai 279
order_status,Delivery status 280
order_status,Where is my order 281
order_status,Track my order 282
order_status,Order status 283
order_status,Order delivery update 284
order_status,My order is delayed 285
order_status,Order kab ayega 286
order_status,Order kaha hai 287
order_status,Delivery status 288
order_status,Where is my order 289
order_status,Track my order 290
order_status,Order status 291
order_status,Order delivery update 292
order_status,My order is delayed 293
order_status,Order kab ayega 294
order_status,Order kaha hai 295
order_status,Delivery status 296
order_status,Where is my order 297
order_status,Track my order 298
order_status,Order status 299
order_status,Order delivery update 300
order_status,My order is delayed 301
order_status,Order kab ayega 302
order_status,Order kaha hai 303
order_status,Delivery status 304
order_status,Where is my order 305
order_status,Track my order 306
order_status,Order status 307
order_status,Order delivery update 308
order_status,My order is delayed 309
order_status,Order kab ayega 310
order_status,Order kaha hai 311
order_status,Delivery status 312
order_status,Where is my order 313
order_status,Track my order 314
order_status,Order status 315
order_status,Order delivery update 316
order_status,My order is delayed 317
order_status,Order kab ayega 318
order_status,Order kaha hai 319
order_status,Delivery status 320
order_status,Where is my order 321
order_status,Track my order 322
order_status,Order status 323
order_status,Order delivery update 324
order_status,My order is delayed 325
order_status,Order kab ayega 326
order_status,Order kaha hai 327
order_status,Delivery status 328
order_status,Where is my order 329
order_status,Track my order 330
order_status,Order status 331
order_status,Order delivery update 332
order_status,My order is delayed 333
order_status,Order kab ayega 334
order_status,Order kaha hai 335
order_status,Delivery status 336
order_status,Where is my order 337
order_status,Track my order 338
order_status,Order status 339
order_status,Order delivery update 340
order_status,My order is delayed 341
order_status,Order kab ayega 342
order_status,Order kaha hai 343
order_status,Delivery status 344
order_status,Where is my order 345
order_status,Track my order 346
order_status,Order status 347
order_status,Order delivery update 348
order_status,My order is delayed 349
order_status,Order kab ayega 350
order_status,Order kaha hai 351
order_status,Delivery status 352
order_status,Where is my order 353
order_status,Track my order 354
order_status,Order status 355
order_status,Order delivery update 356
order_status,My order is delayed 357
order_status,Order kab ayega 358
order_status,Order kaha hai 359
order_status,Delivery status 360
order_status,Where is my order 361
order_status,Track my order 362
order_status,Order status 363
order_status,Order delivery update 364
order_status,My order is delayed 365
order_status,Order kab ayega 366
order_status,Order kaha hai 367
order_status,Delivery status 368
order_status,Where is my order 369
order_status,Track my order 370
order_status,Order status 371
order_status,Order delivery update 372
order_status,My order is delayed 373
order_status,Order kab ayega 374
order_status,Order kaha hai 375
order_status,Delivery status 376
order_status,Where is my order 377
order_status,Track my order 378
order_status,Order status 379
order_status,Order delivery update 380
order_status,My order is delayed 381
order_status,Order kab ayega 382
order_status,Order kaha hai 383
order_status,Delivery status 384
order_status,Where is my order 385
order_status,Track my order 386
order_status,Order status 387
order_status,Order delivery update 388
order_status,My order is delayed 389
order_status,Order kab ayega 390
order_status,Order kaha hai 391
order_status,Delivery status 392
order_status,Where is my order 393
order_status,Track my order 394
order_status,Order status 395
order_status,Order delivery update 396
order_status,My order is delayed 397
order_status,Order kab ayega 398
